Country,Revenue,Orders,Customers
United Kingdom,14343276.617,33085,5337
EIRE,615329.14,560,5
Netherlands,542504.32,225,22
Germany,424041.161,775,106
France,350473.19,601,94
Australia,169968.11000000002,95,15
Spain,108862.32,152,40
Switzerland,100365.34,90,22
Sweden,91311.72,103,19
Denmark,69693.29,42,11
Belgium,64646.01,146,29
Norway,57323.92,42,13
Portugal,55914.04,90,24
Japan,47138.39,33,10
Channel Islands,44798.36,54,13
Italy,32349.97,64,17
Finland,29925.54,57,14
Singapore,25317.06,11,1
Cyprus,24980.13,37,11
Austria,22929.81,44,13
Greece,18415.2,17,4
Poland,10902.45,28,6
Israel,10421.09,7,4
United Arab Emirates,9202.69,11,4
Unspecified,8613.65,16,6
Malta,8099.09,9,2
USA,7751.58,19,9
Lithuania,6553.74,6,1
Iceland,5408.5,7,1
Canada,4883.04,8,5
Thailand,3070.54,2,1
RSA,1933.74,2,2
Lebanon,1693.88,1,1
Brazil,1411.87,2,2
Bahrain,1354.37,4,2
European Community,1300.25,4,1
Korea,1118.51,2,2
Czech Republic,826.74,2,1
West Indies,536.41,1,1
Saudi Arabia,145.92,1,1
Nigeria,140.39000000000001,2,1
