YearMonth,Revenue,Orders,Customers,AOV,YearMonth_Date
2009-12,686654.16,1512,955,454.1363492063492,2009-12-01
2010-01,557319.062,1011,720,551.2552542037587,2010-01-01
2010-02,506371.066,1104,772,458.6694438405797,2010-02-01
2010-03,699608.991,1524,1057,459.06101771653545,2010-03-01
2010-04,594609.192,1329,942,447.4109796839729,2010-04-01
2010-05,599985.79,1377,966,435.7195279593319,2010-05-01
2010-06,639066.58,1497,1041,426.8981830327321,2010-06-01
2010-07,591636.74,1381,928,428.4118320057929,2010-07-01
2010-08,604242.65,1293,911,467.31836813611756,2010-08-01
2010-09,831615.001,1689,1145,492.371226169331,2010-09-01
2010-10,1036680.0,2133,1497,486.0196905766526,2010-10-01
2010-11,1172336.042,2587,1607,453.1642991882489,2010-11-01
2010-12,884591.89,1400,885,631.85135,2010-12-01
2011-01,569445.04,987,741,576.9453292806485,2011-01-01
2011-02,447137.35,997,758,448.4827983951855,2011-02-01
2011-03,595500.76,1321,974,450.79542770628314,2011-03-01
2011-04,469200.361,1149,856,408.3554055700609,2011-04-01
2011-05,678594.56,1555,1056,436.39521543408364,2011-05-01
2011-06,661213.69,1393,991,474.6688370423546,2011-06-01
2011-07,600091.011,1331,949,450.85725845229155,2011-07-01
2011-08,645343.9,1280,935,504.174921875,2011-08-01
2011-09,952838.382,1755,1266,542.9278529914529,2011-09-01
2011-10,1039318.79,1929,1364,538.7863089683774,2011-10-01
2011-11,1161817.3800000001,2657,1664,437.26660895747085,2011-11-01
2011-12,99713.7,266,231,374.86353383458646,2011-12-01
