Customer ID,total_revenue,total_orders,first_purchase,last_purchase,lifespan_days,AOV,Segment
12346,77556.46,12,2009-12-14 08:34:00,2011-01-18 10:01:00,400,6463.038333333334,At risk
12347,5408.5,7,2010-10-31 14:20:00,2011-10-31 12:25:00,364,772.6428571428571,Champions
12348,2019.4,5,2010-09-27 14:59:00,2011-09-25 13:13:00,362,403.88,Loyal
12349,4428.69,4,2010-04-29 13:20:00,2011-11-21 09:51:00,570,1107.1725,Loyal
12350,334.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,Lost
12351,300.93,1,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,Lost
12352,2849.84,10,2010-11-12 10:20:00,2011-11-03 14:37:00,356,284.98400000000004,Champions
12353,406.76,2,2010-10-27 12:44:00,2011-05-19 17:47:00,204,203.38,Lost
12354,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,Lost
12355,947.61,2,2010-05-21 11:59:00,2011-05-09 13:49:00,353,473.805,Lost
12356,6373.68,6,2010-10-11 09:42:00,2011-11-17 08:40:00,401,1062.28,Champions
12357,18287.66,3,2010-11-16 10:05:00,2011-11-06 16:07:00,355,6095.886666666666,Loyal
12358,3203.87,4,2009-12-08 07:59:00,2011-07-12 10:04:00,581,800.9675,Loyal
12359,8935.94,10,2009-12-05 13:32:00,2011-10-13 12:47:00,676,893.594,Champions
12360,4252.89,8,2010-02-22 09:32:00,2011-10-18 15:22:00,603,531.61125,Champions
12361,511.25,4,2010-01-26 14:37:00,2011-02-25 13:51:00,394,127.8125,At risk
12362,4827.19,10,2009-12-01 10:10:00,2011-11-04 09:07:00,702,482.71899999999994,Champions
12363,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,132,276.0,Potential loyalists
12364,1313.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,104,328.275,Loyal
12365,641.38,2,2011-02-21 13:51:00,2011-02-21 14:04:00,1,320.69,Lost
12366,500.24,1,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,Lost
12368,917.6999999999999,1,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,Lost
12369,1791.15,3,2010-03-08 08:09:00,2010-10-22 13:13:00,228,597.0500000000001,At risk
12370,4320.31,7,2010-02-09 09:41:00,2011-10-19 14:51:00,617,617.1871428571429,Champions
12371,4067.38,5,2010-03-04 18:23:00,2011-10-26 10:16:00,600,813.476,Champions
12372,1298.04,3,2011-02-16 12:46:00,2011-09-29 12:12:00,224,432.68,Loyal
12373,1127.65,3,2010-02-04 12:08:00,2011-02-01 13:10:00,362,375.8833333333334,At risk
12374,2989.2200000000003,4,2010-04-30 14:01:00,2011-11-14 15:37:00,563,747.3050000000001,Loyal
12375,457.5,2,2011-09-02 14:23:00,2011-11-29 10:36:00,87,228.75,New customers
12376,503.15,2,2010-10-18 08:42:00,2010-11-15 12:15:00,28,251.575,Lost
12377,3426.32,4,2010-04-29 15:34:00,2011-01-28 15:45:00,274,856.58,At risk
12378,5416.32,2,2010-05-26 14:07:00,2011-08-02 10:34:00,432,2708.16,Potential loyalists
12379,1620.22,4,2010-06-23 12:49:00,2011-09-19 10:09:00,452,405.055,Loyal
12380,9676.300000000001,11,2010-02-15 12:05:00,2011-11-18 11:27:00,640,879.6636363636364,Champions
12381,1698.3,4,2011-08-12 09:57:00,2011-11-06 13:36:00,86,424.575,Loyal
12383,1850.56,5,2010-12-22 14:28:00,2011-06-08 08:02:00,167,370.11199999999997,Loyal
12384,585.27,2,2011-08-10 11:23:00,2011-11-11 08:39:00,92,292.635,New customers
12385,1938.4,1,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1938.4,Lost
12386,660.8,2,2010-12-08 09:53:00,2011-01-06 12:37:00,29,330.4,Lost
12387,143.94,1,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,Lost
12388,3901.11,8,2010-05-06 12:54:00,2011-11-24 12:30:00,566,487.63875,Champions
12389,1433.33,3,2010-02-22 10:15:00,2010-11-02 11:52:00,253,477.77666666666664,At risk
12390,549.84,1,2011-09-21 09:33:00,2011-09-21 09:33:00,1,549.84,Potential loyalists
12391,2773.42,6,2010-02-15 10:12:00,2011-11-18 12:07:00,641,462.2366666666667,Champions
12392,234.75000000000003,1,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75000000000003,Lost
12393,2399.4500000000003,6,2010-10-07 13:49:00,2011-09-28 15:41:00,356,399.90833333333336,Loyal
12394,1272.48,2,2011-05-06 14:01:00,2011-10-07 08:08:00,153,636.24,New customers
12395,5067.27,15,2010-04-16 10:16:00,2011-11-20 15:21:00,583,337.81800000000004,Champions
12396,931.43,1,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.43,Lost
12397,2409.9,2,2011-07-27 14:21:00,2011-11-04 09:52:00,99,1204.95,New customers
12398,1635.6599999999999,1,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1635.6599999999999,New customers
12399,1962.3,7,2010-03-05 08:45:00,2011-08-12 13:15:00,525,280.3285714285714,Loyal
12400,205.25,1,2010-10-21 13:45:00,2010-10-21 13:45:00,1,205.25,Lost
12401,84.3,1,2011-02-09 13:50:00,2011-02-09 13:50:00,1,84.3,Lost
12402,1256.9,6,2010-02-07 12:41:00,2011-01-20 13:49:00,347,209.48333333333335,At risk
12403,1019.36,2,2010-07-06 11:39:00,2011-10-21 10:51:00,471,509.68,New customers
12404,63.24,1,2010-01-26 16:25:00,2010-01-26 16:25:00,1,63.24,Lost
12405,1710.39,1,2011-07-14 08:52:00,2011-07-14 08:52:00,1,1710.39,Potential loyalists
12406,6390.36,5,2010-01-11 14:04:00,2011-11-17 19:22:00,675,1278.072,Champions
12407,1708.1200000000001,5,2011-03-20 13:21:00,2011-10-21 10:11:00,214,341.624,Champions
12408,4340.7699999999995,8,2010-07-29 13:27:00,2011-11-07 12:27:00,465,542.5962499999999,Champions
12409,23419.29,7,2010-05-23 15:21:00,2011-09-22 10:38:00,486,3345.612857142857,Loyal
12410,1013.71,3,2010-07-25 13:26:00,2011-02-04 10:39:00,193,337.90333333333336,At risk
12411,346.9,1,2010-10-26 09:25:00,2010-10-26 09:25:00,1,346.9,Lost
12412,2596.93,6,2010-06-18 13:22:00,2011-09-26 10:16:00,464,432.82166666666666,Loyal
12413,999.45,4,2010-11-02 13:26:00,2011-10-04 09:00:00,335,249.8625,Loyal
12414,952.41,6,2010-09-02 12:22:00,2011-05-06 14:51:00,246,158.73499999999999,At risk
12415,144458.37,28,2010-06-30 08:30:00,2011-11-15 14:22:00,503,5159.2275,Champions
12416,202.56,1,2010-02-21 10:19:00,2010-02-21 10:19:00,1,202.56,Lost
12417,6447.18,19,2009-12-06 10:30:00,2011-10-31 16:02:00,694,339.32526315789477,Champions
12418,2021.2,4,2010-03-19 14:47:00,2011-08-19 11:08:00,517,505.3,Loyal
12419,503.01,2,2010-10-22 10:40:00,2010-11-19 10:04:00,27,251.505,Lost
12420,600.39,1,2011-10-07 08:55:00,2011-10-07 08:55:00,1,600.39,New customers
12421,1098.6,6,2010-07-22 13:57:00,2011-11-24 09:07:00,489,183.1,Champions
12422,5231.8,17,2009-12-18 12:44:00,2011-09-05 09:48:00,625,307.7529411764706,Loyal
12423,2413.75,9,2010-08-31 09:31:00,2011-08-31 08:55:00,364,268.19444444444446,Loyal
12424,3340.03,4,2010-06-09 15:15:00,2011-06-30 12:06:00,385,835.0075,Loyal
12425,1741.41,2,2010-09-17 14:10:00,2011-09-22 17:31:00,370,870.705,Potential loyalists
12426,1345.21,2,2010-02-15 08:41:00,2011-05-29 12:26:00,468,672.605,Potential loyalists
12427,1129.3,3,2010-12-03 10:44:00,2011-11-18 08:56:00,349,376.43333333333334,Loyal
12428,7956.46,9,2011-03-01 09:33:00,2011-11-14 08:22:00,257,884.0511111111111,Champions
12429,7485.91,8,2010-06-11 13:28:00,2011-11-30 17:22:00,537,935.73875,Champions
12430,256.4,1,2011-10-27 15:09:00,2011-10-27 15:09:00,1,256.4,New customers
12431,10857.97,27,2010-01-15 09:04:00,2011-11-04 11:55:00,658,402.147037037037,Champions
12432,5059.32,5,2011-06-20 13:27:00,2011-10-28 11:43:00,129,1011.8639999999999,Champions
12433,17942.57,8,2010-08-20 09:23:00,2011-11-30 14:05:00,467,2242.82125,Champions
12434,1103.43,3,2010-11-23 13:38:00,2011-09-16 12:38:00,296,367.81,Loyal
12435,13925.93,6,2009-12-02 13:58:00,2011-09-21 09:06:00,657,2320.9883333333332,Loyal
12436,509.01,1,2011-09-01 12:09:00,2011-09-01 12:09:00,1,509.01,Potential loyalists
12437,12517.5,38,2009-12-02 16:24:00,2011-11-30 16:47:00,728,329.4078947368421,Champions
12438,2906.85,2,2011-07-22 13:29:00,2011-11-25 13:28:00,125,1453.425,New customers
12439,1158.18,2,2009-12-14 08:40:00,2010-01-26 12:11:00,43,579.09,Lost
